Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 0:00,2020,12,1,0:00,-0.7,,-1.7,,93,,,,35,,12,,,,,,,,-5,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 1:00,2020,12,1,1:00,-1,,-1.8,,95,,,,35,,16,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 2:00,2020,12,1,2:00,-1.2,,-2,,94,,,,35,,15,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 3:00,2020,12,1,3:00,-1.6,,-2.3,,95,,,,36,,16,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 4:00,2020,12,1,4:00,-1.8,,-2.4,,95,,,,35,,12,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 5:00,2020,12,1,5:00,-1.9,,-2.5,,96,,,,35,,12,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 6:00,2020,12,1,6:00,-2.2,,-2.7,,96,,,,36,,15,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 7:00,2020,12,1,7:00,-1.9,,-3.3,,90,,,,36,,16,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 8:00,2020,12,1,8:00,-2.1,,-3.3,,91,,,,36,,15,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 9:00,2020,12,1,9:00,-1.7,,-3.3,,89,,,,36,,15,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 10:00,2020,12,1,10:00,-2,,-3.1,,92,,,,35,,15,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 11:00,2020,12,1,11:00,-1.8,,-2.7,,94,,,,34,,9,,,,,,,,-5,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 12:00,2020,12,1,12:00,-1.5,,-2.5,,93,,,,34,,11,,,,,,,,-5,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 13:00,2020,12,1,13:00,-1.4,,-2.6,,91,,,,34,,13,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 14:00,2020,12,1,14:00,-1.2,,-2.8,,89,,,,33,,16,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 15:00,2020,12,1,15:00,-1.1,,-2.4,,90,,,,33,,15,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 16:00,2020,12,1,16:00,-1,,-3.4,,84,,,,32,,18,,,,,,,,-6,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 17:00,2020,12,1,17:00,-1.8,,-2.9,,92,,,,31,,15,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 18:00,2020,12,1,18:00,-1.6,,-3.5,,86,,,,32,,19,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 19:00,2020,12,1,19:00,-1.8,,-3.6,,87,,,,32,,20,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 20:00,2020,12,1,20:00,-1.7,,-3.4,,89,,,,31,,19,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 21:00,2020,12,1,21:00,-2,,-3.2,,92,,,,31,,17,,,,,,,,-7,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 22:00,2020,12,1,22:00,-1.7,,-3.3,,88,,,,30,,22,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-01 23:00,2020,12,1,23:00,-2.2,,-3.4,,91,,,,30,,19,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-02 0:00,2020,12,2,0:00,-2.2,,-4,,87,,,,30,,20,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-02 1:00,2020,12,2,1:00,-2.3,,-3.7,,90,,,,31,,19,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-02 2:00,2020,12,2,2:00,-2.1,,-3.9,,87,,,,30,,19,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-02 3:00,2020,12,2,3:00,-2.2,,-4.2,,86,,,,31,,22,,,,,,,,-8,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-02 4:00,2020,12,2,4:00,-2.4,,-4.6,,85,,,,30,,24,,,,,,,,-9,,NA
-80.22,43.55,GUELPH TURFGRASS,6143089,2020-12-02 5:00,2020,12,2,5:00,-2.4,,-4.8,,83,,,,30,,24,,,,,,,,-9,,NA
