"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 00:00","2016","09","01","00:00","11.4","","10.7","","96","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 01:00","2016","09","01","01:00","10.9","","10.4","","97","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 02:00","2016","09","01","02:00","11.0","","10.6","","98","","","M","6","","3","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 03:00","2016","09","01","03:00","10.5","","10.2","","98","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 04:00","2016","09","01","04:00","11.3","","11.0","","98","","","M","35","","3","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 05:00","2016","09","01","05:00","13.2","","12.4","","95","","","M","3","","3","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 06:00","2016","09","01","06:00","14.1","","12.2","","88","","","M","36","","4","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 07:00","2016","09","01","07:00","14.9","","12.6","","86","","","M","2","","5","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 08:00","2016","09","01","08:00","16.2","","13.1","","82","","","M","3","","4","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 09:00","2016","09","01","09:00","18.2","","12.7","","71","","","M","2","","11","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 10:00","2016","09","01","10:00","18.3","","12.3","","68","","","M","36","","11","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 11:00","2016","09","01","11:00","17.2","","12.4","","73","","","M","1","","11","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 12:00","2016","09","01","12:00","19.5","","12.8","","66","","","M","36","","9","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 13:00","2016","09","01","13:00","20.4","","10.7","","54","","","M","1","","16","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 14:00","2016","09","01","14:00","19.9","","12.0","","60","","","M","35","","17","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 15:00","2016","09","01","15:00","20.4","","11.4","","56","","","M","1","","13","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 16:00","2016","09","01","16:00","19.8","","10.7","","55","","","M","2","","15","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 17:00","2016","09","01","17:00","19.5","","10.6","","57","","","M","36","","14","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-09-01 18:00","2016","09","01","18:00","19.2","","11.7","","62","","","M","2","","12","","","","","M","","","","","NA"
